RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
-31.036	1772.307	69.016	332.476	1846.984	70.618
-30.880	1772.448	69.155	373.039	1844.368	64.770
-30.699	1772.594	69.360	412.842	1841.484	59.697
-30.489	1772.830	69.652	451.651	1838.452	55.382
-30.232	1773.031	70.090	490.076	1837.747	50.982
-29.950	1773.134	70.465	525.676	1834.489	49.113
-29.722	1773.207	71.031	558.768	1830.947	48.768
-29.529	1773.244	71.658	589.073	1827.441	48.848
-29.229	1773.169	72.359	616.059	1823.941	49.156
-28.945	1773.128	73.264	639.118	1820.616	48.819
-28.555	1773.160	74.331	658.244	1817.575	47.368
-27.994	1773.013	75.731	673.273	1814.838	45.229
-27.396	1772.814	77.933	684.088	1812.355	42.404
-26.412	1772.450	80.673	690.335	1810.628	42.698
-25.207	1772.024	84.182	693.666	1809.163	42.757
-23.693	1771.544	88.354	696.679	1807.665	43.211
-21.870	1770.826	93.339	699.824	1806.456	45.294
-19.329	1769.085	99.219	703.613	1806.124	47.615
-16.301	1768.290	106.081	705.953	1805.670	49.809
-12.556	1767.496	114.194	707.814	1805.555	51.440
-7.612	1766.721	123.296	709.003	1804.965	53.212
-1.478	1766.199	133.779	710.570	1805.021	54.853
6.596	1766.184	145.364	712.000	1805.133	56.468
16.823	1766.624	158.402	713.025	1805.297	57.544
29.345	1767.112	172.414	713.614	1805.266	58.059
43.405	1767.903	187.816	713.874	1805.071	58.250
60.372	1767.327	203.331	714.030	1804.973	58.370
79.294	1765.877	219.583	714.154	1805.068	58.436
99.997	1763.984	236.734	714.244	1805.175	58.479
123.526	1761.831	253.388	714.312	1805.256	58.493
148.704	1759.613	269.651	714.416	1805.376	58.541
175.296	1757.806	284.667	714.478	1805.499	58.587
201.057	1757.126	296.719	714.572	1805.591	58.702
226.419	1757.480	305.830	714.661	1805.697	58.868
251.188	1758.191	312.642	714.743	1805.767	58.991
275.967	1758.476	317.503	714.782	1805.847	59.184
300.552	1758.954	320.419	714.819	1805.915	59.326
325.579	1758.058	320.879	714.884	1805.997	59.527
351.165	1756.691	319.167	714.986	1806.093	59.717
377.567	1755.227	315.952	715.051	1806.198	59.958
404.761	1753.242	310.962	715.208	1806.144	60.393
432.552	1750.668	304.292	715.304	1806.149	60.550
461.280	1747.276	295.640	715.434	1806.112	60.814
490.802	1744.826	285.721	714.517	1807.467	60.014
520.179	1740.957	274.902	715.106	1806.068	59.787
550.326	1736.440	263.007	715.148	1805.998	60.048
582.303	1731.461	248.948	715.063	1806.227	60.377
614.201	1725.795	235.180	718.099	1806.268	61.127
647.054	1719.429	220.619	718.218	1806.130	61.314
680.918	1712.651	205.712	716.285	1805.865	62.308
714.653	1704.179	191.836	716.365	1805.695	62.461
750.260	1697.098	177.530	716.196	1805.268	62.328
787.431	1688.997	162.865	715.854	1804.748	62.565
826.031	1681.102	148.652	715.948	1804.586	62.681
864.360	1671.581	134.936	716.019	1804.440	62.876
901.724	1661.353	121.569	716.087	1804.285	63.037
941.927	1650.193	110.264	716.186	1804.086	63.214
981.819	1638.703	99.746	716.272	1803.842	63.378
1021.108	1626.130	90.366	716.302	1803.649	63.524
1060.128	1612.950	82.166	716.372	1803.444	63.725
1098.356	1598.995	75.271	716.431	1803.310	63.920
1135.713	1584.707	69.700	716.548	1803.225	64.129
1171.691	1570.077	65.438	716.603	1803.108	64.453
1205.972	1556.125	62.891	716.711	1803.050	64.834
1237.912	1541.431	60.988	716.885	1803.012	65.233
1267.772	1529.824	61.012	717.086	1802.967	65.964
1295.111	1519.541	61.482	717.505	1802.940	66.873
1319.234	1511.495	62.398	718.113	1802.927	68.474
1339.889	1505.510	62.638	718.828	1802.973	70.376
1356.274	1501.267	61.160	719.611	1803.174	72.906
1368.379	1498.506	58.004	720.857	1803.516	76.025
1376.359	1497.282	55.327	722.188	1804.033	80.018
1380.887	1497.636	54.230	724.057	1804.598	84.660
1386.967	1498.741	53.940	726.308	1805.216	90.225
1393.201	1498.993	55.224	729.136	1805.894	96.730
1398.732	1498.712	56.413	732.826	1806.474	104.125
1402.376	1498.009	57.533	735.620	1806.665	114.320
1404.812	1496.990	59.533	741.475	1806.308	124.027
1406.415	1495.343	62.029	748.687	1805.643	134.924
1407.826	1494.266	64.813	757.689	1804.542	147.005
1408.697	1493.105	66.420	768.686	1802.894	160.096
1409.372	1492.009	67.494	780.996	1800.450	174.814
1409.873	1491.275	68.323	795.978	1797.919	189.930
1410.338	1490.636	69.068	812.756	1795.268	205.951
1410.710	1490.271	69.545	830.943	1792.085	222.743
1410.733	1490.022	69.561	850.872	1788.328	239.754
1410.600	1489.556	69.639	872.786	1783.639	256.681
1410.749	1489.486	69.690	896.523	1778.073	272.864
1410.844	1489.403	69.712	921.665	1771.310	288.143
1410.921	1489.405	69.728	946.074	1764.485	300.956
1411.099	1489.490	69.846	969.389	1758.094	310.849
1411.193	1489.437	69.918	992.108	1751.708	319.005
1411.196	1489.299	69.948	1014.575	1745.391	325.009
1411.217	1489.223	70.022	1037.296	1738.943	328.653
1411.254	1489.167	70.161	1059.505	1730.137	330.651
1411.237	1489.101	70.297	1083.830	1722.239	330.365
1411.239	1489.082	70.499	1108.855	1713.382	328.206
1411.149	1488.925	70.689	1134.708	1703.769	324.389
1411.126	1488.780	70.846	1160.732	1693.137	318.872
1411.123	1488.695	71.049	1187.185	1681.858	311.805
1411.204	1488.666	71.188	1214.080	1669.989	303.142
1411.322	1488.675	71.290	1241.505	1657.499	292.973
